ID,reads
NA06984_T_RG1,/scratch/s163196/nextflow/fastqc/fastqc/data/Sample_NA06984_T_RG1/
NA06984_T_RG2,/scratch/s163196/nextflow/fastqc/fastqc/data/Sample_NA06984_T_RG2/
